Generation (G),Age of Colony (t),No. of alates (A),No. of helpers,No. of not helper,Age to dispersal (tau),No. of eggs (F),No. of dead offsprings,Imprinting level (I),The maximum reproductive capacity (K),Available resource (R),Peak available resource,Surplus resouce,Peak surplus resouce (delta_R),No. of alates in previous generation,Fitness of colony (W),0-year-old,1-year-old,2-year-old,3-year-old,4-year-old,5-year-old,6-year-old,7-year-old,8-year-old,9-year-old,10-year-old,11-year-old,12-year-old
16,1,0,0,0,5,10,0,5.0,35,200,200,100,100,0,0,10,,,,,,,,,,,,,
16,2,0,0,10,4,10,0,3.0,35,200,200,100,100,0,0,10,10,,,,,,,,,,,,
16,3,0,10,10,4,11,0,3.0,35,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
16,4,0,20,11,4,26,0,3.0,35,537,537,277,277,0,0,26,11,10,10,,,,,,,,,,
16,5,0,31,26,4,35,0,3.0,35,878,878,528,528,0,0,35,26,11,10,10,,,,,,,,,
16,6,0,57,35,4,35,0,3.0,35,1564,1564,1214,1214,0,0,35,35,26,11,10,10,,,,,,,,
16,7,20,72,35,4,35,0,3.0,35,1482,1564,1132,1214,18,18,35,35,35,26,11,0,0,,,,,,,
16,8,11,96,35,4,35,0,3.0,35,2258,2258,1908,1908,29,29,35,35,35,35,26,0,0,0,,,,,,
16,9,26,105,35,4,35,0,3.0,35,2562,2562,2212,2212,55,55,35,35,35,35,35,0,0,0,0,,,,,
16,10,35,105,35,4,35,0,3.0,35,2562,2562,2212,2212,89,90,35,35,35,35,35,0,0,0,0,0,,,,
16,11,35,105,35,4,35,0,3.0,35,2562,2562,2212,2212,123,125,35,35,35,35,35,0,0,0,0,0,0,,,
16,12,35,105,35,4,35,0,3.0,35,2562,2562,2212,2212,157,160,35,35,35,35,35,0,0,0,0,0,0,0,,
16,13,35,105,35,4,35,0,3.0,35,2562,2562,2212,2212,191,195,35,35,35,35,35,0,0,0,0,0,0,0,0,
17,1,0,0,0,6,10,0,6.0,36,200,200,100,100,0,0,10,,,,,,,,,,,,,
17,2,0,0,10,4,10,0,3.0,36,200,200,100,100,0,0,10,10,,,,,,,,,,,,
